Case ID,Activity,Resource,Complete Timestamp,(case) caseStatus,(case) case_type,(case) last_phase,(case) requestComplete,activityNameEN,activityNameNL,concept:name,dateFinished,lifecycle:transition,monitoringResource,question
347,32,7,3473,0,0,1,0,125,0,32,3172,0,4,411
653,89,15,3890,0,0,6,1,123,282,89,2963,0,15,411
1150,47,21,2245,1,0,6,1,47,109,47,70,0,13,411
327,234,15,3586,0,0,23,1,263,262,234,2942,0,15,411
119,96,5,12898,1,0,23,1,16,59,96,804,0,10,411
1016,28,18,15701,0,0,24,1,214,272,28,1543,0,13,411
1170,63,21,9170,1,0,6,1,152,121,63,648,0,13,409
917,253,13,6772,1,0,8,0,154,122,253,3542,0,13,409
736,28,4,296,1,0,6,1,214,272,28,123,0,8,417
307,25,4,20518,0,0,1,1,200,229,25,2490,0,4,409
754,325,15,15232,0,0,6,1,264,14,325,1176,0,15,417
868,138,6,3896,1,0,6,1,272,32,138,2964,0,15,409
1106,118,8,8161,1,0,6,1,65,72,118,505,0,9,417
832,32,8,18364,0,0,6,1,125,0,32,1969,0,9,417
1106,116,8,8161,1,0,6,1,58,20,116,505,0,9,409
345,32,15,3288,0,0,23,1,125,0,32,3147,0,4,417
1160,135,4,1036,1,0,6,1,198,235,135,243,0,4,400
4,88,13,6065,0,0,23,1,149,126,88,3532,0,20,409
279,34,8,19898,0,0,16,1,205,254,34,2245,0,13,417
208,27,4,16179,1,0,23,1,151,120,27,1612,0,2,409
36,118,7,119,0,0,23,1,120,154,118,103,0,10,409
501,87,15,13389,0,0,7,1,17,161,87,1297,0,15,409
412,63,15,55,0,0,23,1,152,121,63,89,0,2,409
736,101,6,19049,1,0,6,1,262,213,101,2019,0,7,417
72,50,5,706,0,0,23,1,258,110,50,183,0,10,409
110,210,13,14677,0,0,16,1,197,234,210,1454,0,1,400
183,249,15,16793,0,0,16,1,268,261,249,2347,0,5,400
762,68,1,18513,1,0,11,0,219,82,68,2003,0,1,411
1048,43,4,20112,1,0,6,1,46,225,43,2035,0,13,411
246,77,15,18410,1,0,23,1,22,107,77,1982,0,15,409
1084,116,13,2341,0,0,6,1,58,20,116,2923,0,13,409
816,137,6,17598,0,0,6,1,52,41,137,1859,0,7,417
534,38,4,13250,0,0,7,0,104,198,38,1267,0,15,409
137,50,15,19966,0,0,23,1,258,110,50,2250,0,4,409
211,209,15,21083,1,0,23,0,112,271,209,446,0,15,417
895,267,13,7878,1,0,12,0,244,175,267,3630,0,13,409
17,51,9,5604,0,0,23,1,5,9,51,3227,0,10,411
1111,372,21,5790,1,0,6,1,27,90,372,3267,0,13,411
323,81,15,22508,0,0,23,1,180,219,81,2729,0,15,411
1117,49,21,4755,1,0,6,0,258,110,49,3401,0,13,409
1072,258,21,3505,1,0,6,0,215,75,258,3176,0,13,411
448,210,13,23657,1,0,6,0,197,234,210,2592,0,13,400
1037,116,13,19301,1,0,6,1,58,20,116,2151,0,13,409
710,35,4,5409,0,0,6,1,239,7,35,3497,0,15,409
1018,142,8,19059,1,0,6,1,94,184,142,2020,0,9,409
626,49,1,12703,0,0,24,0,258,110,49,780,0,1,409
894,27,9,2636,0,0,6,1,151,120,27,3037,0,13,409
147,34,15,13581,1,0,23,1,205,254,34,1326,0,15,417
1055,89,13,23414,1,0,6,0,123,282,89,2869,0,13,411
319,46,15,3957,1,0,23,1,280,56,46,2971,0,15,409
579,26,4,18646,0,0,24,1,3,5,26,3358,0,11,411
1107,143,8,4625,1,0,6,1,160,129,143,3380,0,9,409
352,147,6,6766,1,0,23,1,119,158,147,3539,0,7,409
187,97,1,16156,0,0,23,1,38,23,97,2895,0,1,409
991,76,13,17397,1,0,6,1,22,107,76,1824,0,13,409
968,184,13,13610,1,0,6,0,33,45,184,1331,0,13,411
891,47,8,2407,0,0,24,1,47,109,47,3001,0,9,411
304,89,15,23514,0,0,23,1,123,282,89,2891,0,15,411
186,88,15,3092,1,0,23,1,149,126,88,3109,0,2,409
172,185,6,13616,0,0,23,1,134,25,185,1333,0,10,411
255,38,4,20343,0,0,23,1,104,198,38,569,0,1,409
487,136,6,11332,1,0,23,1,26,205,136,966,0,7,409
183,29,4,13939,0,0,16,1,214,272,29,2347,0,4,409
473,255,1,22143,1,0,26,0,90,252,255,2338,0,1,105
500,33,13,23900,1,0,6,1,128,1,33,2626,0,13,409
706,44,4,5212,0,0,6,1,202,230,44,3457,0,13,409
558,87,13,18118,0,0,6,1,17,161,87,1930,0,13,409
1110,191,4,3114,1,0,14,1,179,152,191,3111,0,8,411
